2020,City Hotel,SC,Complementary,0
2019,Resort Hotel,SC,Complementary,0
2019,Resort Hotel,Undefined,Complementary,0
2020,Resort Hotel,Undefined,Complementary,0
2020,Resort Hotel,HB,Complementary,0
2020,Resort Hotel,SC,Corporate,0
2020,City Hotel,SC,Groups,0
2019,City Hotel,SC,Complementary,0
2019,City Hotel,FB,Complementary,0
2018,Resort Hotel,SC,Online TA,0
2018,Resort Hotel,SC,Groups,0
2018,Resort Hotel,FB,Complementary,0
2018,Resort Hotel,HB,Complementary,0
2018,Resort Hotel,SC,Corporate,0
2018,City Hotel,SC,Complementary,0
2018,City Hotel,SC,Groups,0
2020,Resort Hotel,SC,Online TA,0
