COL,Groups,98
CYP,Groups,82.3846153846154
CZE,Groups,85.7
DEU,Groups,145.185185185185
DNK,Groups,76.5
DZA,Groups,112.333333333333
ECU,Groups,18
EGY,Groups,68.25
ESP,Groups,64.4086687306501
EST,Groups,215
FIN,Groups,77.8888888888889
FRA,Groups,145.766233766234
GBR,Groups,214.83506343714
GEO,Groups,4
GIB,Groups,289
GRC,Groups,110
HRV,Groups,93.4285714285714
HUN,Groups,147.5
IDN,Groups,69
IND,Groups,82.75
IRL,Groups,189.324786324786
IRN,Groups,30.5
ISL,Groups,215
ISR,Groups,78.2272727272727
ITA,Groups,98.6349206349206
JAM,Groups,94
JOR,Groups,73.5
JPN,Groups,30.6
KNA,Groups,98
KOR,Groups,66
KWT,Groups,98
LBN,Groups,151.333333333333
LBY,Groups,0
LKA,Groups,98
LTU,Groups,123.666666666667
LUX,Groups,65.125
LVA,Groups,215
MAR,Groups,20.4
MDV,Groups,34
MEX,Groups,46.5
MKD,Groups,215
MLT,Groups,214
MNE,Groups,35
MOZ,Groups,0
MYS,Groups,98
NLD,Groups,113.4
NOR,Groups,103
NULL,Groups,23.6
NZL,Groups,375
OMN,Groups,197
PER,Groups,68
POL,Groups,142.526315789474
PRT,Groups,148.721445221445
ROU,Groups,157
RUS,Groups,94.2
SAU,Groups,98
SEN,Groups,123
SGP,Groups,98
SRB,Groups,113
SUR,Groups,8
SVK,Groups,100
SVN,Groups,44.3333333333333
SWE,Groups,136.032258064516
THA,Groups,70
TUN,Groups,61
TUR,Groups,56.8
TWN,Groups,67
UKR,Groups,106
USA,Groups,117.964912280702
ZAF,Groups,98
AGO,Offline TA/TO,5
ALB,Offline TA/TO,32
ARG,Offline TA/TO,91.4375
ARM,Offline TA/TO,59.5
AUS,Offline TA/TO,226
AUT,Offline TA/TO,122.873015873016
BEL,Offline TA/TO,90.4744897959184
BGR,Offline TA/TO,85.0909090909091
BHS,Offline TA/TO,159
BIH,Offline TA/TO,301
BLR,Offline TA/TO,42
BRA,Offline TA/TO,60.4285714285714
BRB,Offline TA/TO,192
CAF,Offline TA/TO,126
CHE,Offline TA/TO,100.108695652174
CHL,Offline TA/TO,73.6666666666667
CHN,Offline TA/TO,47.1818181818182
CIV,Offline TA/TO,16
CMR,Offline TA/TO,67.5
CN,Offline TA/TO,145.836653386454
COL,Offline TA/TO,67.3333333333333
CPV,Offline TA/TO,1.33333333333333
CRI,Offline TA/TO,53
CUB,Offline TA/TO,46
CYP,Offline TA/TO,214
CZE,Offline TA/TO,105.733333333333
DEU,Offline TA/TO,124.553556126821
DNK,Offline TA/TO,154.5
DOM,Offline TA/TO,235.5
DZA,Offline TA/TO,35.1111111111111
ECU,Offline TA/TO,35
EGY,Offline TA/TO,110.4
ESP,Offline TA/TO,46.21260815822
EST,Offline TA/TO,218.928571428571
FIN,Offline TA/TO,62.9393939393939
FRA,Offline TA/TO,73.8024615384615
GBR,Offline TA/TO,139.334492350487
GNB,Offline TA/TO,87
GRC,Offline TA/TO,47.0714285714286
GUY,Offline TA/TO,180
HRV,Offline TA/TO,97
HUN,Offline TA/TO,102.333333333333
